Squad,MP_median,MP_mean,MP_std,Starts_median,Starts_mean,Starts_std,Min_median,Min_mean,Min_std,90s_median,90s_mean,90s_std,Gls_median,Gls_mean,Gls_std,Gls.1_median,Gls.1_mean,Gls.1_std,Ast_median,Ast_mean,Ast_std,Ast.1_median,Ast.1_mean,Ast.1_std,G+A_median,G+A_mean,G+A_std,G+A.1_median,G+A.1_mean,G+A.1_std,G-PK_median,G-PK_mean,G-PK_std,G-PK.1_median,G-PK.1_mean,G-PK.1_std,PK_median,PK_mean,PK_std,PKatt_median,PKatt_mean,PKatt_std,CrdY_median,CrdY_mean,CrdY_std,CrdR_median,CrdR_mean,CrdR_std,Gls.2_median,Gls.2_mean,Gls.2_std,Gls.3_median,Gls.3_mean,Gls.3_std,Ast.2_median,Ast.2_mean,Ast.2_std,Ast.3_median,Ast.3_mean,Ast.3_std,G+A.2_median,G+A.2_mean,G+A.2_std,G+A.3_median,G+A.3_mean,G+A.3_std,G-PK.2_median,G-PK.2_mean,G-PK.2_std,G-PK.3_median,G-PK.3_mean,G-PK.3_std,G+A-PK_median,G+A-PK_mean,G+A-PK_std
Arsenal,25.0,23.782608695652176,9.462637157594314,19.0,17.217391304347824,11.357642688112266,1583.0,1546.9130434782608,960.0809110336614,17.6,17.18695652173913,10.666869028054112,1.0,2.782608695652174,3.3160288645954275,0.11,0.19478260869565214,0.23114083792467685,2.0,2.0869565217391304,2.043015673820997,0.11,0.12478260869565218,0.12755995257907665,3.0,4.869565217391305,4.330697485563088,0.27,0.31956521739130433,0.2530447007019899,1.0,2.608695652173913,2.8242316804717413,0.11,0.1873913043478261,0.22263335924389532,0.0,0.17391304347826086,0.6503267649311157,0.0,0.17391304347826086,0.6503267649311157,2.0,2.130434782608696,1.765949341034112,0.0,0.0,0.0,1.0,2.782608695652174,3.3160288645954275,0.11,0.19478260869565214,0.23114083792467685,2.0,2.0869565217391304,2.043015673820997,0.11,0.12478260869565218,0.12755995257907665,3.0,4.869565217391305,4.330697485563088,0.27,0.31956521739130433,0.2530447007019899,1.0,2.608695652173913,2.8242316804717413,0.11,0.1873913043478261,0.22263335924389532,0.27,0.3126086956521739,0.2470409865019521
Aston Villa,23.0,22.6,9.660917830792958,16.0,16.28,11.40730759937097,1411.0,1458.48,947.8219822308407,15.7,16.195999999999998,10.528630806836503,0.0,2.04,3.517574922206112,0.0,0.1284,0.1927148152063043,1.0,1.56,1.8726095873584183,0.09,0.08960000000000001,0.09185495813146578,2.0,3.6,4.663689526544408,0.18,0.2188,0.20785251181226236,0.0,2.04,3.517574922206112,0.0,0.1284,0.1927148152063043,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.32,2.56124969497314,0.0,0.04,0.19999999999999998,0.0,2.04,3.517574922206112,0.0,0.1284,0.1927148152063043,1.0,1.56,1.8726095873584183,0.09,0.08960000000000001,0.09185495813146578,2.0,3.6,4.663689526544408,0.18,0.2188,0.20785251181226236,0.0,2.04,3.517574922206112,0.0,0.1284,0.1927148152063043,0.18,0.2188,0.20785251181226236
Bournemouth,27.0,25.714285714285715,8.444778606587963,19.0,18.80952380952381,11.034577688425813,1525.0,1684.142857142857,935.57465152249,16.9,18.70952380952381,10.391867241352958,1.0,2.619047619047619,3.398178783939869,0.1,0.16714285714285712,0.20233988378821552,1.0,1.4761904761904763,1.5368489717290903,0.08,0.07714285714285715,0.0781116417151027,4.0,4.095238095238095,3.793478112560581,0.2,0.24428571428571427,0.21325035588648916,1.0,2.380952380952381,2.9406834320645685,0.1,0.15571428571428572,0.18279965614222113,0.0,0.23809523809523808,0.6248809410409238,0.0,0.2857142857142857,0.7171371656006361,3.0,3.9047619047619047,2.681506328628778,0.0,0.09523809523809523,0.30079260375911915,1.0,2.619047619047619,3.398178783939869,0.1,0.16714285714285712,0.20233988378821552,1.0,1.4761904761904763,1.5368489717290903,0.08,0.07714285714285715,0.0781116417151027,4.0,4.095238095238095,3.793478112560581,0.2,0.24428571428571427,0.21325035588648916,1.0,2.380952380952381,2.9406834320645685,0.1,0.15571428571428572,0.18279965614222113,0.2,0.23285714285714285,0.19511901130189385
Brentford,30.0,25.8,10.952529147956746,22.0,19.7,12.00482359194354,1894.0,1770.6,1049.9862354987526,21.049999999999997,19.68,11.677851280364715,1.0,2.5,4.9894625804895325,0.035,0.1325,0.23137745420803096,1.0,1.6,1.3138933706635725,0.065,0.154,0.2535931262558402,2.5,4.1,5.340017740952197,0.185,0.2875,0.3032260751181846,1.0,2.1,3.4166773641253156,0.035,0.121,0.20950819604618412,0.0,0.4,1.7888543819998317,0.0,0.5,2.0131148946216078,2.5,3.25,2.7505980211009047,0.0,0.05,0.22360679774997896,1.0,2.5,4.9894625804895325,0.035,0.1325,0.23137745420803096,1.0,1.6,1.3138933706635725,0.065,0.154,0.2535931262558402,2.5,4.1,5.340017740952197,0.185,0.2875,0.3032260751181846,1.0,2.1,3.4166773641253156,0.035,0.121,0.20950819604618412,0.185,0.276,0.2921138927127388
Brighton,25.0,23.083333333333332,10.090532224799151,18.5,16.5,11.037485535959798,1563.0,1482.0,956.9131985531484,17.35,16.458333333333332,10.633168641675859,1.0,2.125,2.691573000568869,0.12,0.16666666666666666,0.18885620632287062,1.0,1.375,1.345281609439322,0.1,0.11125,0.1406294081434698,2.5,3.5,3.3100637062042226,0.25,0.2783333333333333,0.29308949021649056,1.0,2.0,2.570738347668606,0.095,0.1416666666666667,0.18117170972808394,0.0,0.125,0.3378319623460881,0.0,0.20833333333333334,0.6580053301400783,2.0,3.5416666666666665,3.035717330408898,0.0,0.0,0.0,1.0,2.125,2.691573000568869,0.12,0.16666666666666666,0.18885620632287062,1.0,1.375,1.345281609439322,0.1,0.11125,0.1406294081434698,2.5,3.5,3.3100637062042226,0.25,0.2783333333333333,0.29308949021649056,1.0,2.0,2.570738347668606,0.095,0.1416666666666667,0.18117170972808394,0.22999999999999998,0.2529166666666667,0.29580368293951265
Burnley,25.0,23.608695652173914,8.348865630266962,16.0,17.17391304347826,9.242452320741815,1479.0,1538.0,781.2329998150359,16.4,17.09565217391304,8.67470084686548,1.0,1.4782608695652173,2.5738115565934025,0.05,0.10347826086956523,0.15899138614895217,1.0,1.1304347826086956,1.423962072595237,0.04,0.07304347826086957,0.09617383799466728,2.0,2.608695652173913,2.919201796799047,0.14,0.1765217391304348,0.17298472595873823,1.0,1.391304347826087,2.2910722070042904,0.05,0.09869565217391305,0.1457365103012372,0.0,0.08695652173913043,0.41702882811414943,0.0,0.08695652173913043,0.41702882811414943,1.0,2.608695652173913,2.856239269878912,0.0,0.13043478260869565,0.34435022157509093,1.0,1.4782608695652173,2.5738115565934025,0.05,0.10347826086956523,0.15899138614895217,1.0,1.1304347826086956,1.423962072595237,0.04,0.07304347826086957,0.09617383799466728,2.0,2.608695652173913,2.919201796799047,0.14,0.1765217391304348,0.17298472595873823,1.0,1.391304347826087,2.2910722070042904,0.05,0.09869565217391305,0.1457365103012372,0.14,0.17173913043478262,0.16314110384218272
Chelsea,23.0,20.807692307692307,10.914281399228189,12.0,15.153846153846153,11.547094206569225,1091.5,1355.1153846153845,984.6408208853857,12.15,15.053846153846154,10.943389996494899,0.5,2.076923076923077,3.6542914708389307,0.02,0.09153846153846154,0.1415822674685586,1.0,1.3846153846153846,1.6751578570850705,0.03,0.08615384615384616,0.11359848319680761,1.0,3.4615384615384617,4.793585457511062,0.12000000000000001,0.17846153846153845,0.19447760401017508,0.5,1.8076923076923077,3.2498520676391505,0.02,0.07884615384615386,0.11856903214842983,0.0,0.2692307692307692,1.0414486951431572,0.0,0.3076923076923077,1.225372784722454,3.0,3.3846153846153846,2.8576483069394394,0.0,0.2692307692307692,0.45234432086120485,0.5,2.076923076923077,3.6542914708389307,0.02,0.09153846153846154,0.1415822674685586,1.0,1.3846153846153846,1.6751578570850705,0.03,0.08615384615384616,0.11359848319680761,1.0,3.4615384615384617,4.793585457511062,0.12000000000000001,0.17846153846153845,0.19447760401017508,0.5,1.8076923076923077,3.2498520676391505,0.02,0.07884615384615386,0.11856903214842983,0.12000000000000001,0.16615384615384615,0.18082205447515348
Crystal Palace,26.0,22.26086956521739,10.050858811357854,18.0,17.130434782608695,11.70976417675005,1626.0,1537.0869565217392,998.0490474850276,18.1,17.078260869565216,11.100817190301358,1.0,1.608695652173913,2.759102792819411,0.03,0.10652173913043479,0.15452592296946557,1.0,0.9130434782608695,1.202763616096502,0.04,0.06391304347826086,0.08526638101400397,2.0,2.5217391304347827,2.905630352786736,0.13,0.1708695652173913,0.17140894862283063,0.0,1.3043478260869565,1.98711262911555,0.0,0.08956521739130435,0.13525996050936895,0.0,0.30434782608695654,0.926124996899135,0.0,0.30434782608695654,0.926124996899135,3.0,3.1739130434782608,2.1669453555438456,0.0,0.08695652173913043,0.2881040655200304,1.0,1.608695652173913,2.759102792819411,0.03,0.10652173913043479,0.15452592296946557,1.0,0.9130434782608695,1.202763616096502,0.04,0.06391304347826086,0.08526638101400397,2.0,2.5217391304347827,2.905630352786736,0.13,0.1708695652173913,0.17140894862283063,0.0,1.3043478260869565,1.98711262911555,0.0,0.08956521739130435,0.13525996050936895,0.11,0.15391304347826087,0.1602197108074574
Everton,27.0,24.38095238095238,10.161083556767903,18.0,18.80952380952381,12.327282943207916,1627.0,1691.4285714285713,1078.5205408998277,18.1,18.8,11.981068399771365,1.0,2.0952380952380953,2.9984122782693166,0.03,0.09666666666666668,0.14846997451785776,1.0,1.5714285714285714,2.0632844828435215,0.03,0.06952380952380952,0.08639885360791488,2.0,3.6666666666666665,4.016632088371218,0.13,0.1657142857142857,0.17797672399983738,1.0,2.0,2.898275349237888,0.03,0.09333333333333334,0.1465719391061377,0.0,0.09523809523809523,0.4364357804719847,0.0,0.09523809523809523,0.4364357804719847,3.0,3.2857142857142856,3.0189875313233268,0.0,0.19047619047619047,0.4023739080814782,1.0,2.0952380952380953,2.9984122782693166,0.03,0.09666666666666668,0.14846997451785776,1.0,1.5714285714285714,2.0632844828435215,0.03,0.06952380952380952,0.08639885360791488,2.0,3.6666666666666665,4.016632088371218,0.13,0.1657142857142857,0.17797672399983738,1.0,2.0,2.898275349237888,0.03,0.09333333333333334,0.1465719391061377,0.13,0.16238095238095238,0.17578124933862435
Fulham,25.0,24.304347826086957,8.379817651567233,18.0,17.217391304347824,10.795438943196547,1644.0,1545.1739130434783,881.7054575276214,18.3,17.17391304347826,9.79931432625886,1.0,1.7391304347826086,2.7172411025682215,0.05,0.12695652173913044,0.21211992282687417,0.0,1.0869565217391304,1.5929687401561352,0.0,0.058695652173913045,0.0862503938239276,1.0,2.8260869565217392,4.108219852409462,0.12,0.18565217391304345,0.24684971664698274,1.0,1.565217391304348,2.332109598167636,0.05,0.11956521739130435,0.20576858716152616,0.0,0.17391304347826086,0.834057656228299,0.0,0.17391304347826086,0.834057656228299,3.0,3.130434782608696,2.5460191355791455,0.0,0.043478260869565216,0.20851441405707477,1.0,1.7391304347826086,2.7172411025682215,0.05,0.12695652173913044,0.21211992282687417,0.0,1.0869565217391304,1.5929687401561352,0.0,0.058695652173913045,0.0862503938239276,1.0,2.8260869565217392,4.108219852409462,0.12,0.18565217391304345,0.24684971664698274,1.0,1.565217391304348,2.332109598167636,0.05,0.11956521739130435,0.20576858716152616,0.12,0.17869565217391306,0.23974047232610987
